,id,book_id,isbn,authors,original_publication_year,title,average_rating,ratings_count,small_image_url
19,20,7260188,439023513,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,1719760,https://images.gr-assets.com/books/1358275419s/7260188.jpg
20,21,2,439358078,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,https://images.gr-assets.com/books/1387141547s/2.jpg
21,22,12232938,316166685,Alice Sebold,2002.0,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586s/12232938.jpg
22,23,15881,439064864,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,https://images.gr-assets.com/books/1474169725s/15881.jpg
23,24,6,439139600,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,https://images.gr-assets.com/books/1361482611s/6.jpg
24,25,136251,545010225,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,https://images.gr-assets.com/books/1474171184s/136251.jpg
25,26,968,307277674,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,https://images.gr-assets.com/books/1303252999s/968.jpg
26,27,1,439785960,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,https://images.gr-assets.com/books/1361039191s/1.jpg
27,28,7624,140283331,William Golding,1954.0,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409s/7624.jpg
28,29,18135,743477111,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146s/18135.jpg
29,30,8442457,297859382,Gillian Flynn,2012.0,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131s/8442457.jpg
30,31,4667024,399155341,Kathryn Stockett,2009.0,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365s/4667024.jpg
31,32,890,142000671,John Steinbeck,1937.0,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233s/890.jpg
32,33,930,739326228,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
33,34,10818853,1612130291,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,https://images.gr-assets.com/books/1385207843s/10818853.jpg
34,35,865,61122416,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266s/865.jpg
35,36,3636,385732554,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,1296825,https://images.gr-assets.com/books/1342493368s/3636.jpg
36,37,100915,60764899,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,https://images.gr-assets.com/books/1353029077s/100915.jpg
37,38,14050,965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287,https://images.gr-assets.com/books/1437728815s/14050.jpg
38,39,13496,553588486,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,https://images.gr-assets.com/books/1436732693s/13496.jpg
39,40,19501,143038419,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,1181647,https://images.gr-assets.com/books/1503066414s/19501.jpg
40,41,28187,786838655,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,https://images.gr-assets.com/books/1400602609s/28187.jpg
41,42,1934,451529308,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
42,43,10210,142437204,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269s/10210.jpg
43,44,15931,553816713,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,1053403,https://images.gr-assets.com/books/1385738917s/15931.jpg
44,45,4214,770430074,Yann Martel,2001.0,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005s/4214.jpg
45,46,43641,1565125606,Sara Gruen,2006.0,Water for Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973s/43641.jpg
46,47,19063,375831002,Markus Zusak,2005.0,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681s/19063.jpg
47,48,4381,307347974,Ray Bradbury,1953.0,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740s/4381.jpg
48,49,49041,316160199,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630,https://images.gr-assets.com/books/1361039440s/49041.jpg
49,50,30119,60513039,Shel Silverstein,1974.0,Where the Sidewalk Ends,4.29,1016888,https://images.gr-assets.com/books/1168052448s/30119.jpg
50,51,256683,1416914285,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,https://images.gr-assets.com/books/1432730315s/256683.jpg
51,52,428263,316160202,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,1134511,https://images.gr-assets.com/books/1361038355s/428263.jpg
52,53,113436,375826696,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,https://images.gr-assets.com/books/1366212852s/113436.jpg
53,54,11,345391802,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,https://images.gr-assets.com/books/1327656754s/11.jpg
54,55,5129,60929871,Aldous Huxley,1932.0,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574s/5129.jpg
55,56,1162543,031606792X,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",3.7,1070245,https://images.gr-assets.com/books/1361039438s/1162543.jpg
56,57,37435,142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,916189,https://images.gr-assets.com/books/1473454532s/37435.jpg
57,58,2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850s/2956.jpg
58,59,24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,1064521,https://images.gr-assets.com/books/1439632243s/24178.jpg
59,60,1618,1400032717,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624s/1618.jpg
60,61,22557272,1594633665,Paula Hawkins,2015.0,The Girl on the Train,3.88,1008778,https://images.gr-assets.com/books/1490903702s/22557272.jpg
61,62,119322,679879242,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,953970,https://images.gr-assets.com/books/1451271747s/119322.jpg
62,63,6185,393978893,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
63,64,10917,743454537,Jodi Picoult,2004.0,My Sister's Keeper,4.06,863879,https://images.gr-assets.com/books/1369504683s/10917.jpg
64,65,4981,385333846,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,4.06,846488,https://images.gr-assets.com/books/1440319389s/4981.jpg
65,66,18405,446675539,Margaret Mitchell,1936.0,Gone with the Wind,4.28,873981,https://images.gr-assets.com/books/1328025229s/18405.jpg
66,67,128029,1594489505,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,818742,https://images.gr-assets.com/books/1345958969s/128029.jpg
67,68,22628,671027344,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178s/22628.jpg
68,69,11735983,7442912,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,836362,https://images.gr-assets.com/books/1325667729s/11735983.jpg
69,70,375802,812550706,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,813439,https://images.gr-assets.com/books/1408303130s/375802.jpg
70,71,18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,3.75,808589,https://images.gr-assets.com/books/1381512375s/18490.jpg
71,72,11588,450040186,Stephen King,1977.0,The Shining (The Shining #1),4.17,791850,https://images.gr-assets.com/books/1353277730s/11588.jpg
72,73,1656001,316068047,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,749780,https://images.gr-assets.com/books/1318009171s/1656001.jpg
73,74,99561,142402516,John Green,2005.0,Looking for Alaska,4.09,783470,https://images.gr-assets.com/books/1394798630s/99561.jpg
74,75,227443,014028009X,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,https://images.gr-assets.com/books/1292060045s/227443.jpg
75,76,14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675s/14935.jpg
76,77,38709,439244196,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,747445,https://images.gr-assets.com/books/1327781893s/38709.jpg
77,78,5139,307275558,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
78,79,1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,3.73,670326,https://images.gr-assets.com/books/1390173285s/1381.jpg
79,80,157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,4.28,738757,https://images.gr-assets.com/books/1367545443s/157993.jpg
80,81,7445,074324754X,Jeannette Walls,2005.0,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557s/7445.jpg
81,82,1845,385486804,Jon Krakauer,1996.0,Into the Wild,3.94,647684,https://images.gr-assets.com/books/1403173986s/1845.jpg
82,83,1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523s/1953.jpg
83,84,7677,030734813X,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",3.96,447833,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
84,85,370493,60256656,Shel Silverstein,1964.0,The Giving Tree,4.38,702332,https://images.gr-assets.com/books/1174210942s/370493.jpg
85,86,32542,385338600,John Grisham,1989.0,A Time to Kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
86,87,1617,374500010,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),4.3,691231,https://images.gr-assets.com/books/1473495285s/1617.jpg
87,88,6442769,014241493X,John Green,2008.0,Paper Towns,3.88,461311,https://images.gr-assets.com/books/1349013610s/6442769.jpg
88,89,21787,345418263,William Goldman,1973.0,The Princess Bride ,4.25,628637,https://images.gr-assets.com/books/1327903636s/21787.jpg
89,90,231804,014038572X,S.E. Hinton,1967.0,The Outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426s/231804.jpg
90,91,6186357,385737947,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,719925,https://images.gr-assets.com/books/1375596592s/6186357.jpg
91,92,1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,https://images.gr-assets.com/books/1327909092s/1202.jpg
92,93,2998,517189607,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635s/2998.jpg
93,94,320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,4.04,490565,https://images.gr-assets.com/books/1327881361s/320.jpg
94,95,5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966s/5297.jpg
95,96,13536860,345803507,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,https://images.gr-assets.com/books/1336418837s/13536860.jpg
96,97,17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,618973,https://images.gr-assets.com/books/1387151694s/17245.jpg
97,98,5060378,307269981,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,https://images.gr-assets.com/books/1351778881s/5060378.jpg
98,99,11857408,1612130585,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,https://images.gr-assets.com/books/1358266080s/11857408.jpg
99,100,7244,60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487s/7244.jpg
100,101,4137,349113912,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
101,102,19543,99408392,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,620618,https://images.gr-assets.com/books/1384434560s/19543.jpg
102,103,7126,140449264,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605s/7126.jpg
103,104,6288,307265439,Cormac McCarthy,2006.0,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219s/6288.jpg
104,105,18710190,7524277,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,463257,https://images.gr-assets.com/books/1395582745s/18710190.jpg
105,106,9418327,NA,Tina Fey,2011.0,Bossypants,3.94,506250,https://images.gr-assets.com/books/1481509554s/9418327.jpg
106,107,3473,446693804,Nicholas Sparks,1999.0,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968s/3473.jpg
107,108,9416,440241413,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,https://images.gr-assets.com/books/1327872404s/9416.jpg
108,109,24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,513407,https://images.gr-assets.com/books/1411852091s/24280.jpg
109,110,10572,553381695,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,https://images.gr-assets.com/books/1358254974s/10572.jpg
110,111,10441,143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
111,112,15507958,670026603,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",4.27,587647,https://images.gr-assets.com/books/1357108762s/15507958.jpg
112,113,168668,684833395,Joseph Heller,1961.0,Catch-22,3.98,563265,https://images.gr-assets.com/books/1463157317s/168668.jpg
113,114,6900,751529818,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749s/6900.jpg
114,115,2187,312422156,Jeffrey Eugenides,2002.0,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776s/2187.jpg
115,116,24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979s/24583.jpg
116,117,18131,440498058,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,https://images.gr-assets.com/books/1329061522s/18131.jpg
117,118,7763,143038095,Amy Tan,1989.0,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653s/7763.jpg
118,119,38447,038549081X,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,607889,https://images.gr-assets.com/books/1498057733s/38447.jpg
119,120,452306,385729332,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,https://images.gr-assets.com/books/1461611233s/452306.jpg
120,121,7604,NA,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,3.88,469836,https://images.gr-assets.com/books/1377756377s/7604.jpg
121,122,37442,60987103,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,https://images.gr-assets.com/books/1437733293s/37442.jpg
122,123,5358,582418275,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",3.99,488269,https://images.gr-assets.com/books/1418465200s/5358.jpg
123,124,7937843,316098337,Emma Donoghue,2010.0,Room,4.03,511360,https://images.gr-assets.com/books/1344265419s/7937843.jpg
124,125,1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,4.0,515820,https://images.gr-assets.com/books/1351051208s/1420.jpg
125,126,234225,340839937,Frank Herbert,1965.0,Dune (Dune Chronicles #1),4.19,485032,https://images.gr-assets.com/books/1434908555s/234225.jpg
126,127,2612,316346624,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980s/2612.jpg
127,128,11084145,1451648537,Walter Isaacson,2011.0,Steve Jobs,4.09,560715,https://images.gr-assets.com/books/1327861368s/11084145.jpg
128,129,332613,451163966,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,491642,https://images.gr-assets.com/books/1485308778s/332613.jpg
129,130,2165,684830493,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714s/2165.jpg
130,131,4395,142000663,John Steinbeck,1939.0,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927s/4395.jpg
131,132,3431,1401308589,Mitch Albom,2003.0,The Five People You Meet in Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
132,133,8127,451528824,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
133,134,3777732,1416914307,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,593173,https://images.gr-assets.com/books/1369452339s/3777732.jpg
134,135,62291,055357342X,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,https://images.gr-assets.com/books/1497931121s/62291.jpg
135,136,137791,006075995X,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524s/137791.jpg
136,137,10964,440242940,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",4.2,515547,https://images.gr-assets.com/books/1402600310s/10964.jpg
137,138,12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,509883,https://images.gr-assets.com/books/1404810944s/12296.jpg
138,139,9460487,1594744769,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,https://images.gr-assets.com/books/1472782916s/9460487.jpg
139,140,6892870,030726999X,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,https://images.gr-assets.com/books/1327708260s/6892870.jpg
140,141,18007564,804139024,Andy Weir,2012.0,The Martian,4.39,423344,https://images.gr-assets.com/books/1413706054s/18007564.jpg
141,142,5043,451207149,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
142,143,18143977,1476746583,Anthony Doerr,2014.0,All the Light We Cannot See,4.31,470001,https://images.gr-assets.com/books/1451445646s/18143977.jpg
143,144,8664353,1400064163,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,https://images.gr-assets.com/books/1327861115s/8664353.jpg
144,145,976,671027387,Dan Brown,2001.0,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
145,146,17333223,316055433,Donna Tartt,2013.0,The Goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970s/17333223.jpg
146,147,1217100,1595141715,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783,https://images.gr-assets.com/books/1333822506s/1217100.jpg
147,148,2865,452287022,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580s/2865.jpg
148,149,4374400,525421033,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,503527,https://images.gr-assets.com/books/1347462970s/4374400.jpg
149,150,4989,312353766,Anita Diamant,1997.0,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
150,151,28186,786856866,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,https://images.gr-assets.com/books/1400602661s/28186.jpg
151,152,5526,446528056,Nicholas Sparks,2006.0,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854s/5526.jpg
152,153,1582996,1416914293,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,https://images.gr-assets.com/books/1432730356s/1582996.jpg
153,154,8852,743477103,William Shakespeare,1606.0,Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224s/8852.jpg
154,155,15241,618346260,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,https://images.gr-assets.com/books/1298415523s/15241.jpg
155,156,42156,031232118X,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,https://images.gr-assets.com/books/1305063535s/42156.jpg
156,157,23772,394800168,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,457475,https://images.gr-assets.com/books/1468680100s/23772.jpg
157,158,6310,142403881,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,https://images.gr-assets.com/books/1309211401s/6310.jpg
158,159,2120932,1423101464,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,https://images.gr-assets.com/books/1443142158s/2120932.jpg
159,160,2623,192833596,Charles Dickens,1860.0,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219s/2623.jpg
160,161,18512,345339738,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,https://images.gr-assets.com/books/1389977161s/18512.jpg
161,162,49552,NA,"Albert Camus, Matthew    Ward",1942.0,The Stranger,3.96,420600,https://images.gr-assets.com/books/1349927872s/49552.jpg
162,163,7736182,142311339X,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,https://images.gr-assets.com/books/1464201003s/7736182.jpg
163,164,15745753,1250012570,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312,https://images.gr-assets.com/books/1341952742s/15745753.jpg
164,165,13497,055358202X,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,https://images.gr-assets.com/books/1429538615s/13497.jpg
165,166,7735333,525423648,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,511815,https://images.gr-assets.com/books/1367706191s/7735333.jpg
166,167,4407,747263744,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",4.11,378019,https://images.gr-assets.com/books/1258417001s/4407.jpg
167,168,149267,385199570,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,438832,https://images.gr-assets.com/books/1213131305s/149267.jpg
168,169,6400090,446547565,Nicholas Sparks,2008.0,The Last Song,4.14,424637,https://images.gr-assets.com/books/1286549186s/6400090.jpg
169,170,11125,552151696,Dan Brown,1998.0,Digital Fortress,3.6,423019,https://images.gr-assets.com/books/1360095966s/11125.jpg
170,171,6969,141439580,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,459826,https://images.gr-assets.com/books/1373627931s/6969.jpg
171,172,15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,4.02,297472,https://images.gr-assets.com/books/1352422904s/15823480.jpg
172,173,227463,393312836,Anthony Burgess,1962.0,A Clockwork Orange,3.98,431195,https://images.gr-assets.com/books/1348339306s/227463.jpg
173,174,1812457,964729237,William Paul Young,2007.0,The Shack,3.74,419539,https://images.gr-assets.com/books/1344270232s/1812457.jpg
